Title,Company Name,Promotion Text,Location,Experience Required
Digital Marketing Executive (Female),ReformedTech,"About the company:ReformedTech is a startup software company with an experienced development team working with many global clients. It provides services of strategic consulting, web application development, app development, and technical solutions.",Shyamoli,At least 2 year(s)
AI Developer,bdCalling IT Ltd,"At bdCalling IT Limited, your hard work, and talent are highly valued. We offer a negotiable salary to ensure you are rewarded fairly for your contributions.",Anywhere in Bangladesh,2 to 3 year(s)
Application Developer,Intellier Limited (A sister concern of TEAM Group),N/A,Patuakhali,At least 6 year(s)
Digital Marketing Specialist,bdCalling IT Ltd,N/A,Banasree,3 to 4 year(s)
Web3 Blockchain Developer,bdCalling IT Ltd,"At bdCalling IT Limited, your hard work, and talent are highly valued. We offer a negotiable salary to ensure you are rewarded fairly for your contributions.",Banasree,2 to 3 year(s)
IT Officer,Nayanagor Christian Co-operative Credit Union Ltd.,N/A,"GULSHAN 2, Nadda",At least 3 year(s)
Sr. Programmer/Programmer,Synesis IT,N/A,Kawran Bazar,Na
Retail Sales Officer(RSO),Bangladesh Bazar (Banglalink Distribution),N/A,Khulna,Na
Sr. Manager/ Manager - System & Services for Broad Band Telecom Services Limited (BBTS),M. M. Ispahani Limited,N/A,Dhaka,8 to 10 year(s)
Digital Marketer & SEO Expert,KHAN BROTHERS ENERGY CONSORTIUM,N/A,Anywhere in Bangladesh,2 to 5 year(s)
Business Analyst (US Time Zone),Metadesign Solutions Pvt,N/A,Anywhere in Bangladesh,3 to 5 year(s)
WordPress Developer,Itransition Software Bangladesh Ltd,N/A,Anywhere in Bangladesh,At least 3 year(s)
Content Writer,SEO EXPATE BANGLADESH LTD.,N/A,Bogura,1 to 3 year(s)
Junior Software Engineer,Abdul Monem Limited,N/A,Dhaka,1 to 3 year(s)
Assistant IT Manager (Software Engineer),Radisson Blu Chattogram Bay View,N/A,Chattogram Sadar,2 to 3 year(s)
Database Administrator,Gakk Media Limited,"We are looking for a talented database engineer,  ideal candidate will have experience in database development, database administration, knowledge of general database concepts, and basic Linux server administration.",PanthaPath,1 to 3 year(s)
Computer / IT Technician,Digital Group BD,N/A,Pirganj,At least 1 year(s)
PHP Developer (Mid Level),A Reputed Software Company,N/A,Dhaka,At least 5 year(s)
IT Officer,SAJIDA FOUNDATION,"IT officers work collaboratively to assist staff with IT equipment, providing technical support and ensuring efficient use of IT systems, maintaining the organization`s technological infrastructure.",Anywhere in Bangladesh,Na
Senior Software Engineer (Backend),Gakk Media Limited,N/A,Dhaka,At least 2 year(s)
Software Engineer (Java),mPower Social Enterprises Ltd.,N/A,Banani,At least 2 year(s)
Sr. Software Engineer (Web Front End),mPower Social Enterprises Ltd.,N/A,Banani,At least 4 year(s)
Native Android App Developer,JRF Intelligence Limited,N/A,Dhaka,At least 2 year(s)
Native iOS Application Developer,JRF Intelligence Limited,N/A,Dhaka,At least 2 year(s)
Senior AWS Network and Cloud Infrastructure Engineer (JRF Global Operation),JRF Intelligence Limited,N/A,Dhaka,At least 8 year(s)
Senior Business Intelligence Developer,Radiant Data Systems Ltd,N/A,Dhaka,5 to 10 year(s)
Web Frontend Engineer - JS (Oman),STIM,N/A,Oman,1 to 4 year(s)
Insight BPO 𝗶𝘀 𝗵𝗶𝗿𝗶𝗻𝗴 𝗧𝗲𝗹𝗲𝘀𝗮𝗹𝗲𝘀 𝗘𝘅𝗲𝗰𝘂𝘁𝗶𝘃𝗲 𝗳𝗼𝗿 𝗡𝗶𝗴𝗵𝘁-𝗦𝗵𝗶𝗳,Insight BPO Solution Ltd,N/A,Shewrapara,Na
Full Stack Software Engineer (React & Python),SP IT SOLUTION,N/A,Anywhere in Bangladesh,At least 1 year(s)
Computer Operator,Presidency International School,N/A,Chattogram,Na
QA Engineer,Alliance Engineering & Services,"Design, develop, and execute comprehensive test plans and test cases. Identify, document, and track bugs. Develop and apply testing processes for new and existing products. Collaborate with developers to ensure the highest quality product.",Anywhere in Bangladesh,2 to 3 year(s)
Mobile App Design Instructor,Global Mission,N/A,Chattogram,Na
"Executive, IT",East Coast Group,N/A,Dhaka,1 to 3 year(s)
Software Development Engineer (C#- .NET),Perky Rabbit Corporation Limited,N/A,"Dhaka, Badda",2 to 3 year(s)
Senior Software Engineer (Java),BJIT Ltd.,N/A,Dhaka,At least 3 year(s)
Principal Software Engineer - Java,BJIT Ltd.,N/A,Dhaka,At least 6 year(s)
Node.JS Middle Developer,Itransition Software Bangladesh Ltd,N/A,Anywhere in Bangladesh,At least 2 year(s)
Executive -ICT,Bangladesh Specialized Hospital Ltd.,N/A,Shyamoli,3 to 7 year(s)
Web developer-cum-IT expert,Bangladesh Institute of Social Research (BISR),N/A,Dhaka,Na
Frontend Software Developer,Spaceship,N/A,Dhaka,2 to 5 year(s)
Assistant Manager/ Senior Executive; Cyber Security Sales!,BRACNet Limited,N/A,Dhaka,3 to 7 year(s)
ERP Software Developer,Deshi Consumer Products Limited. www.tahafamilybd.com,N/A,Chattogram,5 to 10 year(s)
